"letzter Abo - Auftrag: Auftrag";"letzter Abo - Auftrag: Kündigung erfasst am";"SAP GP Nummer";"Emailkontakt Text"
"2114886832-0020";"09.04.2026";"0019553726";"SHZV-Ja"
"2115187565-0010";"09.04.2026";"0019623152";"SHZV-Ja"
"2113719592-0010";"09.04.2026";"0019235708";"SHZV-Ja"
"2110358836-0010";"09.04.2026";"0016343492";""
"2110371224-0060";"09.04.2026";"0017343278";"SHZV-Ja"
"2114557542-0010";"09.04.2026";"0018677525";"SHZV-Ja"
"2114873559-0010";"09.04.2026";"0019538419";"BEIV-Ja;SHZV-Ja"
"2115122710-0010";"09.04.2026";"0019555728";"SHZV-Ja"
"2115150569-0010";"09.04.2026";"0018081183";"SHZV-Ja"
"2113704725-0010";"09.04.2026";"0019231033";""
"2112216272-0010";"10.04.2026";"0018033942";""
"2113121027-0010";"10.04.2026";"0019015949";"BEIV-Ja;SHZV-Ja"
"2113562699-0010";"10.04.2026";"0019161191";"BEIV-Ja;SHZV-Ja"
"2113386589-0010";"10.04.2026";"0019072894";"SHZV-Ja"
"2113432430-0010";"10.04.2026";"0017494410";"SHZV-Nein"
"2113298776-0010";"10.04.2026";"0019091496";"Global-Nein"
"2110329153-0010";"10.04.2026";"0016244064";""
"2110215912-0010";"10.04.2026";"0016147607";"SHZV-Ja"
"2110590587-0020";"10.04.2026";"0017701040";""
"2114038993-0010";"10.04.2026";"0018152061";"SHZV-Ja"
"2113488511-0010";"10.04.2026";"0018643668";"SHZV-Ja"
"2114240850-0010";"10.04.2026";"0018148099";""
"2114646716-0010";"10.04.2026";"0017860415";"BEIV-Nein"
"2114653010-0020";"10.04.2026";"0019230860";"SHZV-Nein"
"2114552899-0010";"10.04.2026";"0018972814";"SHZV-Ja"
"2114610790-0020";"10.04.2026";"0019483730";"SHZV-Nein"
"2114758635-0020";"10.04.2026";"0017233514";"SHZV-Ja"
"2114791864-0010";"10.04.2026";"0019530291";"SHZV-Ja"
"2114816059-0020";"10.04.2026";"0019454002";"SHZV-Ja"
"2114826556-0020";"10.04.2026";"0019490037";"SHZV-Ja"
"2114869713-0010";"10.04.2026";"0019351397";"SHZV-Ja"
"2114921707-0020";"10.04.2026";"0018766437";"SHZV-Ja"
"2114959499-0020";"10.04.2026";"0019569796";"SHZV-Ja"
"2114969448-0010";"10.04.2026";"0018278733";"BEIV-Ja;SHZV-Ja"
"2114994723-0010";"10.04.2026";"0019280970";"BEIV-Ja"
"2115101122-0010";"10.04.2026";"0016715054";"SHZV-Nein"
"2115128181-0020";"10.04.2026";"0019569845";"SHZV-Ja"
"2115150841-0010";"10.04.2026";"0018759053";"SHZV-Nein;SHJV-Nein"
"2114345905-0010";"10.04.2026";"0019619125";""
"2115183721-0010";"10.04.2026";"0019622172";"SHZV-Ja"
"2110347657-0010";"10.04.2026";"0016122413";"SHZV-Ja"
"2114248813-0010";"10.04.2026";"0019321076";"SHZV-Ja"
"2114817759-0020";"10.04.2026";"0018171589";"SHZV-Ja"
"2113485465-0010";"10.04.2026";"0017338827";""
"2112054099-0010";"10.04.2026";"0018549611";""
"2112934020-0010";"10.04.2026";"0017341005";""
"2114148280-0010";"10.04.2026";"0017657448";"SHZV-Nein"
"2114465976-0010";"10.04.2026";"0016344724";"SHZV-Nein"
"2114793922-0010";"10.04.2026";"0016002285";"SHZV-Nein"
"2114930971-0010";"10.04.2026";"0019563839";"SHZV-Ja"
"2114180968-0010";"10.04.2026";"0019377667";"SHZV-Nein"
"2115149977-0010";"10.04.2026";"0016031694";"Global-Nein"
"2112128608-0010";"10.04.2026";"0017840243";"Global-Nein"
"2110437670-0010";"10.04.2026";"0017296623";"Global-Nein"
"2114590552-0010";"10.04.2026";"0019476690";"SHZV-Ja"
"2114880109-0010";"10.04.2026";"0019497915";"SHZV-Ja"
"2115128973-0010";"10.04.2026";"0016342572";"Global-Nein"
"2115151788-0010";"10.04.2026";"0017056070";"Global-Nein"
"2115173562-0010";"10.04.2026";"0016332957";"Global-Nein"
"2115181341-0010";"10.04.2026";"0017585218";"Global-Nein"
"2114833001-0010";"10.04.2026";"0018505987";"BEIV-Ja;SHZV-Ja"
"2113038823-0010";"10.04.2026";"0017835660";"SHZV-Ja"
"2110495015-0010";"10.04.2026";"0016078722";"SHZV-Ja"
"2113808035-0010";"10.04.2026";"0018505578";"SHZV-Ja"
"2113521411-0010";"10.04.2026";"0019170461";"SHZV-Ja"
"2111902163-0010";"10.04.2026";"0016518474";"SHZV-Ja"
"2114252178-0010";"10.04.2026";"0016734433";"SHZV-Nein"
"2114359641-0010";"10.04.2026";"0017546304";"SHZV-Ja"
"2114533958-0010";"10.04.2026";"0016405377";"BEIV-Ja;SHZV-Ja"
"2114598810-0010";"10.04.2026";"0018838665";"SHZV-Ja"
"2114815055-0020";"10.04.2026";"0017185926";"SHZV-Ja"
"2114814961-0020";"10.04.2026";"0018756403";"BEIV-Ja;SHZV-Ja"
"2114619402-0010";"10.04.2026";"0016385590";"SHZV-Ja"
"2114885284-0010";"10.04.2026";"0018056412";"SHZV-Ja"
"2114989078-0010";"10.04.2026";"0018068910";"BEIV-Ja;SHZV-Ja"
"2110470977-0010";"10.04.2026";"0016013639";"BEIV-Ja;SHZV-Ja"
"2114900726-0010";"10.04.2026";"0019422984";""
"2110286907-0030";"10.04.2026";"0016445948";"SHZV-Ja"
"2115181899-0010";"10.04.2026";"0019218599";"SHZV-Ja"
"2114618288-0010";"10.04.2026";"0016224192";"SHZV-Ja"
"2114284132-0020";"10.04.2026";"0019401772";"SHZV-Nein"
"2114910785-0010";"10.04.2026";"0016143378";"SHZV-Ja"
"2115157219-0010";"10.04.2026";"0019569094";"BEIV-Ja;SHZV-Ja"
"2110247554-0020";"10.04.2026";"0016015661";"SHZV-Ja"
"2114005144-0010";"10.04.2026";"0016480763";""
"2114817711-0020";"10.04.2026";"0016060425";"SHZV-Ja"
"2114820571-0010";"10.04.2026";"0016452567";"SHZV-Ja"
"2114453271-0010";"10.04.2026";"0017300979";"BEIV-Ja;SHZV-Ja"
"2115124698-0020";"10.04.2026";"0019354143";"SHZV-Ja"
"2115153659-0020";"10.04.2026";"0019614650";"SHZV-Ja"
"2115174351-0010";"10.04.2026";"0016099401";"SHZV-Ja"
"2115179922-0010";"10.04.2026";"0019621303";"SHZV-Ja"
"2115183587-0010";"10.04.2026";"0018195845";"SHZV-Ja"
"2115183773-0010";"10.04.2026";"0016418853";"SHZV-Ja"
"2115183739-0010";"10.04.2026";"0017698960";"SHZV-Ja"
"2115185417-0010";"10.04.2026";"0019585048";"Global-Nein"
"2115185780-0010";"10.04.2026";"0019622627";"SHZV-Ja"
"2115185755-0010";"10.04.2026";"0019620936";"BEIV-Ja;SHZV-Ja"
"2115185950-0010";"10.04.2026";"0019622663";"SHZV-Nein"
"2115185957-0010";"10.04.2026";"0019401598";"SHZV-Ja"
"2115185947-0010";"10.04.2026";"0019622660";""
"2115186813-0010";"10.04.2026";"0019623002";"SHZV-Ja"
"2115186658-0010";"10.04.2026";"0019101982";"BEIV-Ja;SHZV-Ja"
"2115187528-0010";"10.04.2026";"0019623135";""
"2113941873-0010";"10.04.2026";"0018688894";"Global-Nein"
"2110322477-0010";"10.04.2026";"0016095633";"BEIV-Ja;SHZV-Ja"
"2115003568-0010";"10.04.2026";"0019323127";"SHZV-Ja"
"2115188760-0010";"10.04.2026";"0019623079";"SHZV-Ja"
"2115049252-0020";"10.04.2026";"0019329870";"SHZV-Ja"
"2113855325-0010";"10.04.2026";"0016524956";"SHZV-Ja"
"2115188761-0010";"10.04.2026";"0019621471";"SHZV-Ja"
"2115185217-0010";"10.04.2026";"0018510757";"SHZV-Ja"
"2112266170-0010";"10.04.2026";"0017693647";"Global-Nein"
"2114799786-0010";"10.04.2026";"0018746931";"SHZV-Ja"
"2114345905-0010";"10.04.2026";"0018384185";"BEIV-Nein;SHZV-Ja"
"2115188956-0010";"10.04.2026";"0019515427";"BEIV-Ja;SHZV-Ja"
"2114962402-0020";"11.04.2026";"0019570408";"SHZV-Ja"
"2115079294-0010";"11.04.2026";"0019327008";"BEIV-Ja;SHZV-Ja"
"2110298961-0010";"11.04.2026";"0016225151";""
"2113302212-0010";"11.04.2026";"0016652297";"SHZV-Nein"
"2110228148-0040";"11.04.2026";"0016529463";""
"2111161383-0010";"11.04.2026";"0018248242";""
"2113337966-0010";"11.04.2026";"0019102564";"SHZV-Nein"
"2110456299-0030";"11.04.2026";"0017325538";""
"2112663749-0010";"11.04.2026";"0018775048";"SHZV-Nein"
"2114244839-0010";"11.04.2026";"0019305167";""
"2114242954-0010";"11.04.2026";"0018351417";""
"2114708033-0010";"11.04.2026";"0016003291";"SHZV-Nein"
"2110335704-0050";"11.04.2026";"0016718594";""
"2114725712-0010";"11.04.2026";"0019442226";"BEIV-Ja;SHZV-Ja"
"2110500067-0020";"11.04.2026";"0017405516";"SHZV-Nein"
"2113494561-0010";"11.04.2026";"0019021412";""
"2114793422-0010";"11.04.2026";"0019528665";"SHZV-Nein"
"2114898499-0010";"11.04.2026";"0017724825";"SHZV-Ja"
"2113219937-0010";"11.04.2026";"0019064918";"SHZV-Nein"
"2115078103-0010";"11.04.2026";"0019598969";""
"2115114282-0010";"11.04.2026";"0019252736";"SHZV-Ja"
"2115178078-0010";"11.04.2026";"0019619999";"SHZV-Ja"
"2113501014-0010";"11.04.2026";"0016129289";"SHZV-Ja"
"2110297144-0010";"11.04.2026";"0016068840";""
"2114844438-0020";"11.04.2026";"0017028703";"SHZV-Ja"
"2115162352-0010";"11.04.2026";"0018319322";"SHZV-Ja"
"2111405186-0010";"11.04.2026";"0018170826";"Global-Nein"
"2114473592-0010";"11.04.2026";"0019097945";"Global-Nein"
"2110486981-0040";"11.04.2026";"0017612865";"SHZV-Ja"
"2114851742-0010";"11.04.2026";"0018437637";"SHZV-Ja"
"2115025556-0010";"11.04.2026";"0019502206";"SHZV-Ja"
"2113808158-0010";"11.04.2026";"0019199131";"SHZV-Ja"
"2110577363-0020";"11.04.2026";"0018031442";"SHZV-Nein"
"2114738545-0010";"11.04.2026";"0019406329";"BEIV-Ja;SHZV-Ja"
"2115182428-0010";"11.04.2026";"0018720245";"SHZV-Ja"
"2113745809-0010";"11.04.2026";"0019244613";"SHZV-Ja"
"2114840198-0010";"11.04.2026";"0019542436";"SHZV-Ja"
"2115180036-0010";"11.04.2026";"0019221151";"BEIV-Ja;SHZV-Ja"
"2115182776-0010";"11.04.2026";"0019621936";"SHZV-Ja"
"2110234529-0010";"11.04.2026";"0016375876";"SHZV-Ja"
"2113491509-0010";"11.04.2026";"0019159943";"SHZV-Nein"
"2114951996-0010";"11.04.2026";"0019282619";"SHZV-Ja"
"2114887274-0020";"12.04.2026";"0019354457";"SHZV-Nein"
"2113905252-0010";"12.04.2026";"0018535984";"SHZV-Ja"
"2113872732-0010";"12.04.2026";"0018892546";"SHZV-Ja"
"2114261432-0010";"12.04.2026";"0016451039";"BEIV-Ja;SHZV-Ja"
"2111253790-0010";"12.04.2026";"0018203313";"SHZV-Ja"
"2114803240-0010";"12.04.2026";"0018751665";"SHZV-Ja"
"2114686486-0010";"12.04.2026";"0018846694";"SHZV-Ja"
"2110258071-0050";"12.04.2026";"0016026627";"SHZV-Ja"
"2114055528-0010";"12.04.2026";"0016407741";"SHZV-Ja"
"2114147508-0020";"13.04.2026";"0019368004";"SHZV-Ja"
"2114926495-0010";"13.04.2026";"0019562946";"SHZV-Ja"
"2111531021-0010";"13.04.2026";"0018080980";""
"2110517321-0010";"13.04.2026";"0017338941";""
"2113333364-0010";"13.04.2026";"0017340267";"BEIV-Nein;SHZV-Ja"
"2114239996-0010";"13.04.2026";"0018568929";""
"2113807031-0010";"13.04.2026";"0018951362";"SHZV-Ja"
"2110256990-0040";"13.04.2026";"0016204817";"SHZV-Ja"
"2114626107-0010";"13.04.2026";"0018383697";""
"2114922779-0010";"13.04.2026";"0017400683";"SHZV-Ja"
"2110453813-0040";"13.04.2026";"0015554905";"SHZV-Ja"
"2115107606-0010";"13.04.2026";"0019474268";"SHZV-Ja"
"2115123556-0010";"13.04.2026";"0019364223";"SHZV-Nein"
"2115123803-0020";"13.04.2026";"0019608770";"SHZV-Ja"
"2115135223-0010";"13.04.2026";"0016227896";"SHZV-Ja"
"2115024710-0010";"13.04.2026";"0017169441";"SHZV-Ja"
"2112887671-0010";"13.04.2026";"0018939252";""
"2112955368-0010";"13.04.2026";"0018810707";"Global-Nein"
"2113090444-0010";"13.04.2026";"0018894044";"Global-Nein"
"2113298336-0010";"13.04.2026";"0019087115";"Global-Nein"
"2112068377-0010";"13.04.2026";"0016183508";"Global-Nein"
"2110364469-0010";"13.04.2026";"0017643022";"SHZV-Nein"
"2114955652-0010";"13.04.2026";"0016050248";"SHZV-Nein"
"2115154151-0020";"13.04.2026";"0019614723";""
"2115184008-0010";"13.04.2026";"0019622249";"SHZV-Ja"
"2110229508-0010";"13.04.2026";"0016001673";""
"2110318868-0010";"13.04.2026";"0016092654";"Global-Nein"
"2110296407-0010";"13.04.2026";"0016223421";"Global-Nein"
"2110303924-0010";"13.04.2026";"0016076988";"SHZV-Ja"
"2110327660-0040";"13.04.2026";"0016705599";"Global-Nein"
"2110502615-0010";"13.04.2026";"0017406504";"Global-Nein"
"2110255850-0010";"13.04.2026";"0016204701";""
"2110493532-0010";"13.04.2026";"0016078025";"Global-Nein"
"2113136099-0010";"13.04.2026";"0019034274";""
"2111429071-0020";"13.04.2026";"0018356288";""
"2111668340-0010";"13.04.2026";"0017024620";"Global-Nein"
"2110336727-0010";"13.04.2026";"0016108170";"Global-Nein"
"2114987024-0010";"13.04.2026";"0019442483";"BEIV-Ja;SHZV-Ja"
"2113817027-0010";"13.04.2026";"0019263116";""
"2113888534-0010";"13.04.2026";"0018633831";"SHZV-Ja"
"2113692265-0010";"13.04.2026";"0017118192";"SHZV-Ja"
"2113590274-0010";"13.04.2026";"0018955891";"SHZV-Ja"
"2111598455-0010";"13.04.2026";"0017059369";""
"2112035964-0010";"13.04.2026";"0018624120";"SHZV-Ja"
"2112400166-0020";"13.04.2026";"0017015409";"SHZV-Ja"
"2114821775-0020";"13.04.2026";"0019537540";""
"2114926379-0010";"13.04.2026";"0016581100";"SHZV-Ja"
"2114999153-0020";"13.04.2026";"0019166938";"SHZV-Ja"
"2113403319-0010";"13.04.2026";"0019130619";""
"2113958986-0010";"13.04.2026";"0019307320";"SHZV-Ja"
"2115186463-0010";"13.04.2026";"0019099396";"SHZV-Ja"
"2115189417-0010";"13.04.2026";"0019457319";"BEIV-Ja;SHZV-Ja"
"2110220036-0010";"13.04.2026";"0016362339";"SHZV-Ja"
"2113998407-0010";"13.04.2026";"0019298195";"BEIV-Ja;SHZV-Ja"
"2114094035-0010";"13.04.2026";"0019350582";"SHZV-Ja"
"2114302873-0010";"13.04.2026";"0018522899";"BEIV-Nein;SHZV-Ja"
"2115180028-0010";"13.04.2026";"0019442934";""
"2110651025-0010";"13.04.2026";"0018050114";""
"2114733064-0020";"13.04.2026";"0016137040";"SHZV-Ja"
"2114763405-0010";"13.04.2026";"0017821241";""
"2114819844-0020";"13.04.2026";"0016480144";"SHZV-Ja"
"2114889508-0010";"13.04.2026";"0016422696";"SHZV-Ja"
"2112171460-0010";"13.04.2026";"0017836898";"BEIV-Nein;SHZV-Nein"
"2114865740-0010";"13.04.2026";"0019509980";"SHZV-Ja"
"2114526754-0010";"13.04.2026";"0016002494";""
"2113086562-0010";"13.04.2026";"0017720539";"SHZV-Ja"
"2114649768-0010";"13.04.2026";"0017838683";"BEIV-Ja;SHZV-Ja"
"2114536231-0010";"13.04.2026";"0019310274";"SHZV-Ja"
"2112592346-0010";"13.04.2026";"0018171070";"SHZV-Ja"
"2113406823-0010";"13.04.2026";"0017490103";""
"2114816573-0020";"13.04.2026";"0019006468";"BEIV-Ja;SHZV-Ja"
"2114816536-0020";"13.04.2026";"0018028304";"SHZV-Ja"
"2114821933-0020";"13.04.2026";"0019357014";"BEIV-Nein;SHZV-Ja"
"2114822377-0020";"13.04.2026";"0018106444";"SHZV-Ja"
"2114825201-0010";"13.04.2026";"0016115300";"SHZV-Ja"
"2114826213-0010";"13.04.2026";"0017442016";"BEIV-Ja;SHZV-Ja;SHJV-Ja"
"2114831896-0010";"13.04.2026";"0018247208";"SHZV-Ja"
"2114919701-0010";"13.04.2026";"0016309858";"SHZV-Ja"
"2114822029-0010";"13.04.2026";"0016319336";"SHZV-Ja"
"2110334450-0040";"13.04.2026";"0016105298";"Global-Nein"
"2113880406-0010";"13.04.2026";"0017661570";""
"2114988545-0020";"13.04.2026";"0019576450";"Global-Nein"
"2115175212-0020";"13.04.2026";"0019262636";"SHZV-Ja"
"2115178866-0010";"13.04.2026";"0019587447";"SHZV-Ja"
"2115179451-0010";"13.04.2026";"0019621204";"SHZV-Nein"
"2115180032-0010";"13.04.2026";"0019587252";"Global-Nein"
"2115180235-0010";"13.04.2026";"0019339145";"SHZV-Ja"
"2115181880-0010";"13.04.2026";"0019621765";"Global-Nein"
"2115183769-0010";"13.04.2026";"0018961779";"SHZV-Ja"
"2115183918-0010";"13.04.2026";"0018735243";"SHZV-Ja"
"2115184222-0010";"13.04.2026";"0019622292";"SHZV-Ja"
"2115184424-0010";"13.04.2026";"0019408536";"SHZV-Nein"
"2115185808-0010";"13.04.2026";"0018716007";"BEIV-Ja;SHZV-Ja"
"2115186669-0010";"13.04.2026";"0018825690";"BEIV-Ja;SHZV-Ja"
"2115186920-0010";"13.04.2026";"0016705955";"SHZA-Nein"
"2115186121-0010";"13.04.2026";"0019622714";"SHZV-Ja"
"2115188021-0010";"13.04.2026";"0019623214";"BEIV-Ja"
"2115188532-0010";"13.04.2026";"0019216823";"Global-Nein"
"2115188188-0010";"13.04.2026";"0019623286";"BEIV-Ja;SHZV-Ja"
"2115188245-0010";"13.04.2026";"0018864908";"Global-Nein"
"2115188233-0010";"13.04.2026";"0017712432";"BEIV-Ja;SHZV-Ja"
"2115188207-0010";"13.04.2026";"0019623293";"BEIV-Nein;SHZV-Ja"
"2115188191-0010";"13.04.2026";"0019623287";"BEIV-Ja;SHZV-Ja"
"2115188210-0010";"13.04.2026";"0019388366";"BEIV-Ja;SHZV-Ja"
"2115188234-0010";"13.04.2026";"0019623299";"BEIV-Ja;SHZV-Ja"
"2115188153-0010";"13.04.2026";"0019504704";"BEIV-Ja;SHZV-Ja"
"2113349749-0010";"13.04.2026";"0016401159";"SHZV-Ja"
"2114872596-0010";"13.04.2026";"0019097401";"Global-Nein"
"2112545413-0010";"13.04.2026";"0016239911";"BEIV-Ja;SHZV-Ja"
"2110359416-0010";"13.04.2026";"0016346208";""
"2111254537-0010";"13.04.2026";"0016552339";"SHZV-Ja"
"2114807020-0020";"13.04.2026";"0018928013";"SHZV-Ja"
"2110250644-0010";"14.04.2026";"0016399540";"Global-Nein"
"2112956724-0010";"14.04.2026";"0018347397";"BEIV-Ja;SHZV-Ja"
"2110509822-0060";"14.04.2026";"0017102405";"SHZV-Ja"
"2112131183-0010";"14.04.2026";"0017839553";"SHZV-Ja"
"2112523032-0010";"14.04.2026";"0018218496";""
"2110308816-0020";"14.04.2026";"0016232680";""
"2112549707-0010";"14.04.2026";"0018814933";""
"2110289136-0010";"14.04.2026";"0016659211";""
"2110504067-0010";"14.04.2026";"0017406738";"SHZV-Ja"
"2113444505-0010";"14.04.2026";"0019144848";"SHZV-Ja"
"2110497371-0010";"14.04.2026";"0017405075";"SHZV-Nein"
"2110460009-0010";"14.04.2026";"0016004675";""
"2111240909-0010";"14.04.2026";"0018225569";""
"2113425328-0010";"14.04.2026";"0019136054";"BEIV-Ja;SHZV-Ja"
"2112129000-0010";"14.04.2026";"0017835398";""
"2114021772-0020";"14.04.2026";"0019101474";""
"2114041871-0010";"14.04.2026";"0017280637";"SHZV-Ja;SHZA-Nein"
"2114151687-0010";"14.04.2026";"0019000006";"BEIV-Nein;SHZV-Ja"
"2114071788-0020";"14.04.2026";"0018600126";"Global-Nein"
"2114104127-0010";"14.04.2026";"0018143444";"BEIV-Ja;SHZV-Ja"
"2114158200-0010";"14.04.2026";"0017552454";"SHZV-Ja"
"2114208067-0010";"14.04.2026";"0018604280";"BEIV-Nein;SHZV-Ja"
"2114287025-0010";"14.04.2026";"0018088492";"BEIV-Ja;SHZV-Ja"
"2114329632-0010";"14.04.2026";"0019198849";""
"2114360592-0010";"14.04.2026";"0017099177";"SHZV-Ja"
"2114719077-0020";"14.04.2026";"0019512677";"SHZV-Ja"
"2114743277-0010";"14.04.2026";"0019518402";""
"2114781343-0010";"14.04.2026";"0018761898";""
"2114794684-0010";"14.04.2026";"0018221744";"SHZV-Nein"
"2114796138-0010";"14.04.2026";"0019531322";"BEIV-Ja;SHZV-Ja"
"2114799382-0010";"14.04.2026";"0019032504";"SHZV-Ja"
"2114811413-0020";"14.04.2026";"0016389205";"SHZV-Ja"
"2114814954-0010";"14.04.2026";"0019170678";"HBWV-Ja"
"2114817678-0020";"14.04.2026";"0018187035";"BEIV-Ja;SHZV-Ja"
"2114832222-0010";"14.04.2026";"0018929505";""
"2114840021-0010";"14.04.2026";"0016647673";"SHZV-Ja"
"2114849088-0020";"14.04.2026";"0019414213";"SHZV-Ja"
"2114852416-0010";"14.04.2026";"0016736435";"SHZV-Nein"
"2114852442-0010";"14.04.2026";"0018928025";"BEIV-Ja;SHZV-Ja"
"2114913544-0010";"14.04.2026";"0016133306";"SHZV-Ja"
"2114169535-0010";"14.04.2026";"0019374463";""
"2114960334-0010";"14.04.2026";"0016127870";"SHZV-Ja"
"2114835756-0010";"14.04.2026";"0017021617";"SHZV-Ja"
"2115012933-0010";"14.04.2026";"0019160371";"SHZV-Nein"
"2114917666-0010";"14.04.2026";"0017119725";"SHZV-Nein"
"2110414780-0020";"14.04.2026";"0019586001";""
"2110493474-0040";"14.04.2026";"0016077951";""
"2114021185-0010";"14.04.2026";"0019228854";"BEIV-Ja;SHZV-Ja"
"2115150142-0010";"14.04.2026";"0019613957";"SHZV-Ja"
"2110335223-0010";"14.04.2026";"0016250603";""
"2110275354-0020";"14.04.2026";"0016213425";""
"2114303463-0010";"14.04.2026";"0019407340";"SHZV-Ja"
"2114457464-0010";"14.04.2026";"0018567451";""
"2114667245-0010";"14.04.2026";"0019499658";"SHZV-Nein"
"2112219361-0010";"14.04.2026";"0018091997";"SHZV-Ja"
"2110230351-0010";"14.04.2026";"0016002771";""
"2113305089-0010";"14.04.2026";"0019093535";"Global-Nein"
"2112128130-0010";"14.04.2026";"0017837255";"Global-Nein"
"2110292193-0040";"14.04.2026";"0016450057";"Global-Nein"
"2110353220-0020";"14.04.2026";"0016318758";"Global-Nein"
"2110235480-0010";"14.04.2026";"0016173743";"Global-Nein"
"2112967658-0010";"14.04.2026";"0017462285";"SHZV-Nein"
"2113988854-0010";"14.04.2026";"0016642641";"Global-Nein"
"2114573583-0010";"14.04.2026";"0016226084";"SHZV-Ja"
"2110313201-0010";"14.04.2026";"0016085119";"Global-Nein"
"2114770007-0010";"14.04.2026";"0017823504";"Global-Nein"
"2114914434-0010";"14.04.2026";"0019499458";""
"2110491964-0010";"14.04.2026";"0017403658";"SHZV-Ja;BEIA-Nein"
"2114970007-0010";"14.04.2026";"0019572254";"SHZV-Ja"
"2114826880-0020";"14.04.2026";"0019538842";"SHZV-Ja"
"2111975142-0010";"14.04.2026";"0018530312";"SHZV-Ja"
"2113038673-0010";"14.04.2026";"0018994595";"BEIV-Ja;NOZV-Ja;SHZV-Ja"
"2114745220-0010";"14.04.2026";"0017071845";"BEIV-Ja;SHZV-Ja"
"2114816546-0020";"14.04.2026";"0016530579";"SHZV-Ja"
"2114816492-0020";"14.04.2026";"0019132459";"SHZV-Ja"
"2114823105-0020";"14.04.2026";"0016328392";"SHZV-Ja"
"2114854560-0020";"14.04.2026";"0017841972";"BEIV-Nein;SHZV-Nein"
"2111361222-0010";"14.04.2026";"0017583987";"SHZV-Ja"
"2110383704-0020";"14.04.2026";"0017458812";"BEIV-Ja;SHZV-Ja"
"2114014982-0010";"14.04.2026";"0019323721";"SHZV-Ja"
"2114711334-0010";"14.04.2026";"0018546813";"BEIV-Ja;SHZV-Ja"
"2115131591-0010";"14.04.2026";"0019413839";"SHZV-Ja"
"2114427902-0010";"14.04.2026";"0016177182";""
"2114810062-0020";"14.04.2026";"0019300717";"BEIV-Ja;SHZV-Ja"
"2114820624-0020";"14.04.2026";"0019084362";"SHZV-Nein"
"2114827334-0020";"14.04.2026";"0018269320";"SHZV-Ja"
"2113385437-0010";"14.04.2026";"0019122289";"SHZV-Ja"
"2115035338-0010";"14.04.2026";"0018338385";"SHZV-Ja"
"2114870572-0010";"14.04.2026";"0017338255";"SHZV-Ja"
"2114929545-0020";"14.04.2026";"0019563566";"SHZV-Ja"
"2115090656-0020";"14.04.2026";"0019602037";""
"2115109437-0020";"14.04.2026";"0019605933";"SHZV-Ja"
"2115119987-0020";"14.04.2026";"0019607974";""
"2115150155-0010";"14.04.2026";"0019613963";""
"2115151256-0020";"14.04.2026";"0019614202";""
"2115158931-0020";"14.04.2026";"0019615712";""
"2110229122-0010";"14.04.2026";"0016369751";""
"2114818610-0020";"14.04.2026";"0016125185";"SHZV-Ja"
"2114820541-0020";"14.04.2026";"0017528185";"BEIV-Ja;SHZV-Ja"
"2114852337-0010";"14.04.2026";"0016354013";"BEIV-Ja;SHZV-Ja"
"2115176204-0010";"14.04.2026";"0019620450";""
"2115184543-0010";"14.04.2026";"0019575428";"SHZV-Ja"
"2115186606-0010";"14.04.2026";"0019622947";"SHZV-Ja"
"2115186966-0010";"14.04.2026";"0019622800";"Global-Nein"
"2115187391-0010";"14.04.2026";"0019623087";""
"2115186425-0010";"14.04.2026";"0019622882";"SHZV-Ja"
"2115186459-0010";"14.04.2026";"0019622900";"SHZV-Ja"
"2115186804-0010";"14.04.2026";"0019121859";"SHZV-Ja"
"2115187532-0010";"14.04.2026";"0019575248";"SHZV-Ja"
"2115187531-0010";"14.04.2026";"0019623136";""
"2115187519-0010";"14.04.2026";"0019623130";"SHZV-Nein"
"2115187560-0010";"14.04.2026";"0019623149";"SHZV-Ja"
"2115187894-0010";"14.04.2026";"0019623187";""
"2115188231-0010";"14.04.2026";"0019003625";"BEIV-Ja;SHZV-Ja"
"2115188036-0010";"14.04.2026";"0019623219";""
"2115188236-0010";"14.04.2026";"0019060365";"BEIV-Ja;SHZV-Ja"
"2115188035-0010";"14.04.2026";"0018386072";""
"2115189336-0010";"14.04.2026";"0019340896";"BEIV-Ja"
"2110273361-0010";"14.04.2026";"0016212332";"SHZV-Ja"
"2114893219-0010";"14.04.2026";"0017600239";"BEIV-Ja;SHZV-Ja"
"2113858018-0020";"14.04.2026";"0019276656";""
"2114938026-0010";"14.04.2026";"0017793317";"SHZV-Ja"
"2115128344-0010";"14.04.2026";"0019609716";"SHZV-Ja"
"2115189577-0010";"14.04.2026";"0019522745";"SHZV-Ja"
"2115183692-0010";"14.04.2026";"0019622153";"SHZV-Nein"
"2115188197-0010";"14.04.2026";"0019253425";"BEIV-Ja;SHZV-Ja"
"2112126850-0010";"14.04.2026";"0017835092";"BEIV-Ja;SHZV-Ja"
"2110295366-0010";"14.04.2026";"0016067491";""
"2114599973-0010";"14.04.2026";"0018035116";"SHZV-Nein"
"2115039867-0010";"14.04.2026";"0016027594";"SHZV-Ja"
"2114213710-0010";"14.04.2026";"0018197786";""
"2110414780-0020";"14.04.2026";"0017263314";"SHZV-Ja"
"2112130612-0010";"15.04.2026";"0017836662";""
"2113679450-0010";"15.04.2026";"0019223820";"Global-Nein"
"2110284932-0030";"15.04.2026";"0016057665";""
"2112954849-0010";"15.04.2026";"0017861159";""
"2110302362-0010";"15.04.2026";"0016226810";"SHZV-Nein"
